"","state","county","NAME","B01001_001E"
"1","50","003","Bennington County, Vermont",35649
"2","50","005","Caledonia County, Vermont",30027
"3","50","009","Essex County, Vermont",6179
"4","50","011","Franklin County, Vermont",49275
"5","50","015","Lamoille County, Vermont",25376
"6","50","017","Orange County, Vermont",28873
"7","50","021","Rutland County, Vermont",58527
"8","50","023","Washington County, Vermont",58336
"9","50","027","Windsor County, Vermont",55191
"10","50","001","Addison County, Vermont",36947
"11","50","007","Chittenden County, Vermont",163414
"12","50","013","Grand Isle County, Vermont",7075
"13","50","019","Orleans County, Vermont",26843
"14","50","025","Windham County, Vermont",42628
