"","NAME","dependents","working_age","dependency_ratio"
"1","Addison County, Vermont",12398,24549,0.505030754816897
"2","Bennington County, Vermont",13524,22125,0.611254237288136
"3","Caledonia County, Vermont",10927,19100,0.572094240837696
"4","Chittenden County, Vermont",48364,115050,0.420373750543242
"5","Essex County, Vermont",2481,3698,0.670903190914008
"6","Franklin County, Vermont",16891,32384,0.521584733201581
"7","Grand Isle County, Vermont",2443,4632,0.527417962003454
"8","Lamoille County, Vermont",8684,16692,0.520249221183801
"9","Orange County, Vermont",10425,18448,0.565101908065915
"10","Orleans County, Vermont",10452,16391,0.637667012384845
"11","Rutland County, Vermont",21247,37280,0.56993025751073
"12","Washington County, Vermont",20380,37956,0.536937506586574
"13","Windham County, Vermont",15967,26661,0.598889764074866
"14","Windsor County, Vermont",20993,34198,0.613866307971226
