"","NAME","county","Year_Built","Total","Tenure","Count"
"1","Addison","001","2014 or later",137,"Owner",113
"2","Addison","001","2014 or later",137,"Renter",4
"3","Addison","001","2014 or later",137,"Seasonal or Vacant",20
"4","Addison","001","2010-2013",1203,"Owner",780
"5","Addison","001","2010-2013",1203,"Renter",264
"6","Addison","001","2010-2013",1203,"Seasonal or Vacant",159
"7","Addison","001","2000-2009",1769,"Owner",1285
"8","Addison","001","2000-2009",1769,"Renter",269
"9","Addison","001","2000-2009",1769,"Seasonal or Vacant",215
"10","Addison","001","1990-1999",2167,"Owner",1688
"11","Addison","001","1990-1999",2167,"Renter",248
"12","Addison","001","1990-1999",2167,"Seasonal or Vacant",231
"13","Addison","001","1980-1989",2642,"Owner",1706
"14","Addison","001","1980-1989",2642,"Renter",506
"15","Addison","001","1980-1989",2642,"Seasonal or Vacant",430
"16","Addison","001","1970-1979",2409,"Owner",1678
"17","Addison","001","1970-1979",2409,"Renter",406
"18","Addison","001","1970-1979",2409,"Seasonal or Vacant",325
"19","Addison","001","1960-1969",1344,"Owner",895
"20","Addison","001","1960-1969",1344,"Renter",142
"21","Addison","001","1960-1969",1344,"Seasonal or Vacant",307
"22","Addison","001","1950-1959",730,"Owner",481
"23","Addison","001","1950-1959",730,"Renter",152
"24","Addison","001","1950-1959",730,"Seasonal or Vacant",97
"25","Addison","001","1940-1949",390,"Owner",226
"26","Addison","001","1940-1949",390,"Renter",102
"27","Addison","001","1940-1949",390,"Seasonal or Vacant",62
"28","Addison","001","1939 or earlier",4730,"Owner",2856
"29","Addison","001","1939 or earlier",4730,"Renter",837
"30","Addison","001","1939 or earlier",4730,"Seasonal or Vacant",1037
"31","Bennington","003","2014 or later",105,"Owner",43
"32","Bennington","003","2014 or later",105,"Renter",54
"33","Bennington","003","2014 or later",105,"Seasonal or Vacant",8
"34","Bennington","003","2010-2013",605,"Owner",310
"35","Bennington","003","2010-2013",605,"Renter",178
"36","Bennington","003","2010-2013",605,"Seasonal or Vacant",117
"37","Bennington","003","2000-2009",1997,"Owner",1066
"38","Bennington","003","2000-2009",1997,"Renter",226
