"Month","Year","date","Region","OpeningRate"
1,2017,2017-01-01,"United States",3.71384177989355
1,2017,2017-01-01,"Vermont",3.96462336078073
2,2017,2017-02-01,"United States",3.90259008638014
2,2017,2017-02-01,"Vermont",4.28003668602874
3,2017,2017-03-01,"United States",3.82856766372381
3,2017,2017-03-01,"Vermont",4.84408113835907
4,2017,2017-04-01,"United States",4.0002626998982
4,2017,2017-04-01,"Vermont",5.12048192771084
5,2017,2017-05-01,"United States",3.82770718631329
5,2017,2017-05-01,"Vermont",4.25661295226513
6,2017,2017-06-01,"United States",4.12393386008058
6,2017,2017-06-01,"Vermont",4.52215857702743
7,2017,2017-07-01,"United States",4.07685772171754
7,2017,2017-07-01,"Vermont",5.12202470623682
8,2017,2017-08-01,"United States",4.09673944972094
8,2017,2017-08-01,"Vermont",4.53857791225416
9,2017,2017-09-01,"United States",4.12190938321365
9,2017,2017-09-01,"Vermont",4.54132606721163
10,2017,2017-10-01,"United States",4.17301605907865
10,2017,2017-10-01,"Vermont",4.54407755225689
11,2017,2017-11-01,"United States",4.08151310822421
11,2017,2017-11-01,"Vermont",4.53583308134261
12,2017,2017-12-01,"United States",4.11805614231212
12,2017,2017-12-01,"Vermont",4.81203007518797
1,2018,2018-01-01,"United States",4.29152001866724
1,2018,2018-01-01,"Vermont",3.97553516819572
2,2018,2018-02-01,"United States",4.23786916419803
2,2018,2018-02-01,"Vermont",5.10970844604749
3,2018,2018-03-01,"United States",4.39593031502663
3,2018,2018-03-01,"Vermont",4.82218203737191
4,2018,2018-04-01,"United States",4.42823199119119
4,2018,2018-04-01,"Vermont",4.54407755225689
5,2018,2018-05-01,"United States",4.504481368294
5,2018,2018-05-01,"Vermont",4.82945970419559
6,2018,2018-06-01,"United States",4.62900716439698
6,2018,2018-06-01,"Vermont",5.3940665268205
7,2018,2018-07-01,"United States",4.60277831124768
7,2018,2018-07-01,"Vermont",5.92592592592593
8,2018,2018-08-01,"United States",4.60613341683335
8,2018,2018-08-01,"Vermont",5.08829691709069
9,2018,2018-09-01,"United States",4.72733767517813
9,2018,2018-09-01,"Vermont",5.10204081632653
10,2018,2018-10-01,"United States",4.65727220557291
10,2018,2018-10-01,"Vermont",5.09745127436282
11,2018,2018-11-01,"United States",4.8304507954278
11,2018,2018-11-01,"Vermont",5.09286998202516
12,2018,2018-12-01,"United States",4.76102684077356
12,2018,2018-12-01,"Vermont",5.09286998202516
1,2019,2019-01-01,"United States",4.76133053230178
1,2019,2019-01-01,"Vermont",5.1005100510051
2,2019,2019-02-01,"United States",4.49688476494136
2,2019,2019-02-01,"Vermont",4.80769230769231
3,2019,2019-03-01,"United States",4.64241301423749
3,2019,2019-03-01,"Vermont",4.778972520908
4,2019,2019-04-01,"United States",4.60646755138885
4,2019,2019-04-01,"Vermont",4.52352231604343
5,2019,2019-05-01,"United States",4.60746314029488
5,2019,2019-05-01,"Vermont",5.38438528268023
6,2019,2019-06-01,"United States",4.55221377813495
6,2019,2019-06-01,"Vermont",5.08677438659485
7,2019,2019-07-01,"United States",4.4575827013888
7,2019,2019-07-01,"Vermont",4.82654600301659
8,2019,2019-08-01,"United States",4.53302515330062
8,2019,2019-08-01,"Vermont",4.82509047044632
