"","County","Town","school_district","num_teachers","student_teacher_ratio"
"1","Addison","Bridport","Addison Central Unified School District",146,12.2
"2","Addison","Cornwall","Addison Central Unified School District",146,12.2
"3","Addison","Middlebury","Addison Central Unified School District",146,12.2
"4","Addison","Ripton","Addison Central Unified School District",146,12.2
"5","Addison","Salisbury","Addison Central Unified School District",146,12.2
"6","Addison","Shoreham","Addison Central Unified School District",146,12.2
"7","Addison","Weybridge","Addison Central Unified School District",146,12.2
"8","Addison","Addison","Addison Northwest Unified School District",87,10.5
"9","Addison","Ferrisburgh","Addison Northwest Unified School District",87,10.5
"10","Addison","Panton","Addison Northwest Unified School District",87,10.5
"11","Addison","Vergennes","Addison Northwest Unified School District",87,10.5
"12","Addison","Waltham","Addison Northwest Unified School District",87,10.5
"13","Grand Isle","Alburgh","Alburg School District",14,13.6
"14","Bennington","Arlington","Arlington School District",35,12
"15","Windsor","Barnard","Barnard School District",6,12
"16","Washington","Barre (city)","Barre Unified Union School District",200,11.1
"17","Rutland","Chittenden","Barstow Unified Union School District",13,15.2
"18","Rutland","Mendon","Barstow Unified Union School District",13,15.2
"19","Windham","Athens","Bellows Falls Union High School District",31,10.5
"20","Windham","Grafton","Bellows Falls Union High School District",31,10.5
"21","Windham","Rockingham","Bellows Falls Union High School District",31,10.5
"22","Windham","Westminster","Bellows Falls Union High School District",31,10.5
"23","Caledonia","Groton","Blue Mountain Union School District",36,11.4
"24","Caledonia","Ryegate","Blue Mountain Union School District",36,11.4
"25","Caledonia","Wells River","Blue Mountain Union School District",36,11.4
"26","Essex","Brighton","Brighton School District",10,13.9
"27","Chittenden","Burlington","Burlington School District",313,11.2
"28","Washington","Cabot","Cabot School District",20,8.2
"29","Caledonia","Barnet","Caledonia Cooperative School District",43,12.7
"30","Caledonia","Walden","Caledonia Cooperative School District",43,12.7
"31","Caledonia","Waterford","Caledonia Cooperative School District",43,12.7
"32","Lamoille","Cambridge","Cambridge School District",30,11.1
"33","Essex","Canaan","Canaan School District",26,6.5
"34","Grand Isle","Grand Isle","Champlain Islands Unified Union School District",19,10.7
"35","Grand Isle","Isle La Motte","Champlain Islands Unified Union School District",19,10.7
"36","Grand Isle","North Hero","Champlain Islands Unified Union School District",19,10.7
"37","Chittenden","Charlotte","Champlain Valley Union School District",300,14.1
"38","Chittenden","Hinesburg","Champlain Valley Union School District",300,14.1
"39","Chittenden","Shelburne","Champlain Valley Union School District",300,14.1
"40","Chittenden","St. George","Champlain Valley Union School District",300,14.1
"41","Chittenden","Williston","Champlain Valley Union School District",300,14.1
"42","Orleans","Charleston","Charleston School District",11,10.7
"43","Chittenden","Colchester","Colchester School District",178,13.7
"44","Orleans","Coventry","Coventry School District",11,11.7
"45","Orleans","Craftsbury","Craftsbury School District",21,10
"46","Caledonia","Danville","Danville School District",42,8.4
"47","Orleans","Derby","Derby School District",32,15.6
"48","Orange","Orange","Echo Valley Community School District",15,13.8
"49","Orange","Washington","Echo Valley Community School District",15,13.8
"50","Franklin","Enosburgh","Enosburgh-Richford Unified Union School District",93,11.5
"51","Franklin","Richford","Enosburgh-Richford Unified Union School District",93,11.5
"52","Essex","Essex","Essex Westford Unified Union School District",358,10.5
"53","Essex","Westford","Essex Westford Unified Union School District",358,10.5
"54","Franklin","Fairfax","Fairfax School District",82,12.8
"55","Orange","Chelsea","First Branch Unified School District",23,13.3
"56","Orange","Tunbridge","First Branch Unified School District",23,13.3
"57","Franklin","Fletcher","Fletcher School District",10,11.8
"58","Franklin","Georgia","Georgia School District",60,10.5
"59","Windsor","Andover","Green Mountain Unified School District",54,12.7
"60","Windsor","Baltimore","Green Mountain Unified School District",54,12.7
"61","Windsor","Cavendish","Green Mountain Unified School District",54,12.7
"62","Windsor","Chester","Green Mountain Unified School District",54,12.7
"63","Windsor","Hartford","Hartford School District",168,8.6
"64","Windsor","Hartland","Hartland School District",23,13.5
"65","Washington","Duxbury","Harwood Union School District",166,10.9
"66","Washington","Fayston","Harwood Union School District",166,10.9
"67","Washington","Moretown","Harwood Union School District",166,10.9
"68","Washington","Waitsfield","Harwood Union School District",166,10.9
"69","Washington","Warren","Harwood Union School District",166,10.9
"70","Washington","Waterbury","Harwood Union School District",166,10.9
"71","Orleans","Greensboro","Hazen Union High School District",29,10.6
"72","Orleans","Hardwick","Hazen Union High School District",29,10.6
"73","Orleans","Woodbury","Hazen Union High School District",29,10.6
"74","Orleans","Jay","Jay School District",5,14.8
"75","Caledonia","Burke","Kingdom East Unified Union School District",120,14.5
"76","Caledonia","Concord","Kingdom East Unified Union School District",120,14.5
"77","Caledonia","Lunenburg","Kingdom East Unified Union School District",120,14.5
"78","Caledonia","Lyndon","Kingdom East Unified Union School District",120,14.5
"79","Caledonia","Newark","Kingdom East Unified Union School District",120,14.5
"80","Caledonia","Sheffield","Kingdom East Unified Union School District",120,14.5
"81","Caledonia","Sutton","Kingdom East Unified Union School District",120,14.5
"82","Caledonia","Wheelock","Kingdom East Unified Union School District",120,14.5
"83","Orleans","Albany","Lake Region Union Elementary-Middle School District",59,11.7
"84","Orleans","Barton","Lake Region Union Elementary-Middle School District",59,11.7
"85","Orleans","Brownington","Lake Region Union Elementary-Middle School District",59,11.7
"86","Orleans","Glover","Lake Region Union Elementary-Middle School District",59,11.7
"87","Orleans","Irasburg","Lake Region Union Elementary-Middle School District",59,11.7
"88","Orleans","Westmore","Lake Region Union Elementary-Middle School District",59,11.7
"89","Orleans","Albany","Lake Region Union High School District",32,11.1
"90","Orleans","Barton","Lake Region Union High School District",32,11.1
"91","Orleans","Brownington","Lake Region Union High School District",32,11.1
"92","Orleans","Glover","Lake Region Union High School District",32,11.1
"93","Orleans","Irasburg","Lake Region Union High School District",32,11.1
"94","Orleans","Westmore","Lake Region Union High School District",32,11.1
"95","Lamoille","Belvidere","Lamoille North Modified Union School District 58A",84,7.2
"96","Lamoille","Eden","Lamoille North Modified Union School District 58A",84,7.2
"97","Lamoille","Hyde Park","Lamoille North Modified Union School District 58A",84,7.2
"98","Lamoille","Johnson","Lamoille North Modified Union School District 58A",84,7.2
