"","state","place","NAME","Total Population","Median Age","Total Male Population","Total Female Population","White Alone","Black or African American Alone","Asian Alone","Hispanic or Latino Population","Median Household Income","Household Income Brackets","Per Capita Income","Population Below Poverty Level","Median Home Value","Median Gross Rent","Labor Force","Unemployed Population","Civilian Employed Population","Industry for Civilian Employed Population","High School Graduate or Equivalent","Bachelor's Degree","Master's Degree","Professional School Degree","Doctorate Degree","Total Housing Units","Occupied Housing Units","Vacant Housing Units","Owner-Occupied Housing Units","Renter-Occupied Housing Units","Total Workers","Workers Who Drive Alone","Workers Using Public Transport","Mean Travel Time to Work (Minutes)","Total Population for Health Insurance Coverage","Population with Public Health Insurance","Population with Private Health Insurance","Population with No Health Insurance"
"1","50","00400","Albany",161,42.9,81,80,152,5,0,0,96250,0,40063,5,187500,-666666666,84,1,10,44688,22,5,17,25,2,73,58,15,58,0,83,75,0,2245,161,0,0,0
"2","50","00850","Alburgh",586,32.1,283,303,491,11,0,15,62955,10,26624,64,175000,1620,314,8,27,43804,149,50,36,12,2,364,220,144,168,52,306,222,0,10945,586,0,0,37
"3","50","01035","Algiers",182,34,62,120,151,0,0,27,72500,5,17670,49,-666666666,2025,88,0,0,31750,22,6,14,0,6,94,58,36,20,38,88,88,0,1935,182,0,0,14
"4","50","01375","Arlington",1871,35.8,874,997,1543,16,35,197,73164,14,34081,172,231800,1090,978,80,19,42375,199,89,357,141,28,677,577,100,405,172,880,581,0,12565,1871,0,14,37
"5","50","01750","Ascutney",413,66.6,229,184,413,0,0,0,50161,0,30854,3,200900,-666666666,115,0,1,47009,147,6,60,51,0,218,218,0,218,0,115,63,0,2045,397,0,0,7
"6","50","02425","Bakersfield",377,47.6,184,193,372,0,0,0,88438,7,37537,7,224400,-666666666,202,24,7,52955,103,37,62,34,0,148,148,0,145,3,174,138,0,4365,377,0,0,8
"7","50","02800","Barnet",92,25.5,33,59,92,0,0,0,-666666666,0,16649,67,189600,-666666666,27,0,0,8125,0,10,10,6,0,30,30,0,17,13,27,21,0,NA,92,0,0,0
"8","50","03175","Barre",8461,40.9,3766,4695,7902,26,72,207,53288,122,37843,1607,200100,986,4262,251,361,45629,2115,327,1643,437,45,4364,4135,229,2070,2065,3998,2868,75,71870,8294,0,0,577
"9","50","03475","Barton",697,41.7,348,349,585,46,2,28,35341,35,19506,199,133800,746,294,28,17,30000,142,27,71,10,11,378,297,81,148,149,266,189,0,5705,697,0,0,22
"10","50","04150","Beecher Falls",73,57.8,39,34,69,0,0,0,57639,0,32537,3,104200,-666666666,42,3,14,47768,31,0,3,0,0,67,41,26,41,0,39,22,0,NA,73,0,0,4
"11","50","04225","Bellows Falls",2851,41.8,1185,1666,2516,21,116,73,54836,82,32683,536,176000,1071,1694,49,28,40585,535,101,336,222,0,1571,1308,263,671,637,1618,1237,9,30335,2829,0,0,136
"12","50","04750","Bennington",8888,45.9,4276,4612,8343,22,117,132,53839,90,36027,1060,185100,1095,4414,217,339,38558,1438,600,1161,920,124,4135,3795,340,2136,1659,4153,3035,43,56390,8401,0,7,615
"13","50","05125","Benson",191,34.9,96,95,186,5,0,0,33214,2,22494,31,164100,1094,73,9,15,39167,62,10,0,2,0,114,88,26,49,39,64,51,0,1520,191,0,2,9
"14","50","05725","Bethel",555,46.1,322,233,541,0,14,0,66250,0,42251,17,269100,1135,356,22,5,48750,48,66,131,12,5,300,233,67,135,98,328,246,0,10535,555,0,0,25
"15","50","06475","Bolton",19,28.2,12,7,15,0,0,4,-666666666,0,145095,0,-666666666,-666666666,19,9,0,61667,6,0,3,0,4,7,7,0,7,0,10,3,0,NA,19,0,0,6
"16","50","06700","Bolton Valley",177,35.6,107,70,154,0,4,5,118036,0,63085,0,221200,1409,155,0,0,52386,16,3,60,42,0,203,91,112,53,38,151,99,0,3620,177,0,0,24
"17","50","07225","Bradford",1326,42.2,757,569,1226,2,23,68,96213,37,43497,155,246400,1072,745,30,0,34830,150,225,216,106,34,500,487,13,346,141,622,358,0,14085,1317,0,93,116
"18","50","07675","Brandon",1892,50.8,801,1091,1643,41,34,15,54138,33,31072,276,218800,1077,879,0,30,29353,383,201,206,143,30,949,770,179,593,177,844,599,0,14845,1885,0,0,37
"19","50","07975","Brattleboro",7793,44.9,3660,4133,7148,81,63,254,46972,156,38421,1780,239500,1028,3686,312,149,38618,1023,351,1524,1070,106,3830,3596,234,1822,1774,3331,2319,10,41055,7664,0,0,393
"20","50","08950","Bristol",2005,49.8,997,1008,1877,68,14,74,71372,39,43160,232,298200,1290,1120,39,29,49179,483,104,432,194,21,1009,971,38,667,304,1028,697,0,20505,1981,0,0,58
"21","50","10675","Burlington",44649,26.7,20669,23980,38307,1665,1655,1484,68854,1436,39027,8549,400200,1609,25996,1197,860,40312,3373,1450,7889,4367,1220,18339,17691,648,7037,10654,24014,11367,1267,384430,44258,56,84,3252
